"Protein_IDs"	"Majority_protein_IDs"	"Peptide_counts_all"	"Peptide_counts_razor_unique"	"Peptide_counts_unique"	"Fasta_headers"	"Number_of_proteins"	"Peptides"	"Razor_unique_peptides"	"Unique_peptides"	"Peptides_D_R1"	"Peptides_D_R2"	"Peptides_D_R3"	"Peptides_E_R1"	"Peptides_E_R2"	"Peptides_E_R3"	"Razor_unique_peptides_D_R1"	"Razor_unique_peptides_D_R2"	"Razor_unique_peptides_D_R3"	"Razor_unique_peptides_E_R1"	"Razor_unique_peptides_E_R2"	"Razor_unique_peptides_E_R3"	"Unique_peptides_D_R1"	"Unique_peptides_D_R2"	"Unique_peptides_D_R3"	"Unique_peptides_E_R1"	"Unique_peptides_E_R2"	"Unique_peptides_E_R3"	"Sequence_coverage"	"Unique_razor_sequence_coverage"	"Unique_sequence_coverage"	"Mol_weight_kDa"	"Sequence_length"	"Sequence_lengths"	"Q_value"	"Identification_type_D_R1"	"Identification_type_D_R2"	"Identification_type_D_R3"	"Identification_type_E_R1"	"Identification_type_E_R2"	"Identification_type_E_R3"	"Sequence_coverage_D_R1"	"Sequence_coverage_D_R2"	"Sequence_coverage_D_R3"	"Sequence_coverage_E_R1...."	"Sequence_coverage_E_R2"	"Sequence_coverage_E_R3"	"Intensity"	"Intensity_D_R1"	"Intensity_D_R2"	"Intensity_D_R3"	"Intensity_E_R1"	"Intensity_E_R2"	"Intensity_E_R3"	"iBAQ"	"iBAQ_D_R1"	"iBAQ_D_R2"	"iBAQ_D_R3"	"iBAQ_E_R1"	"iBAQ_E_R2"	"iBAQ_E_R3"	"LFQ_intensity_D_R1"	"LFQ_intensity_D_R2"	"LFQ.intensity_D_R3"	"LFQ_intensity_E_R1"	"LFQ_intensity_E_R2"	"LFQ_intensity_E_R3"	"MS_MS_Count_D_R1"	"MS_MS_Count_D_R2"	"MS_MS_Count_D_R3"	"MS_MS_Count_E_R1"	"MS_MS_Count_E_R2"	"MS_MS_Count_E_R3"	"MS_MS_Count"	"Only_identified_by_site"	"Reverse"	"Potential_contaminant"	"id"	"Peptide_IDs"	"Peptide_is_razor"	"Mod_peptide_IDs"	"Evidence_IDs"	"MS_MS_IDs"	"Best_MS_MS"	"Oxidation_M_site_IDs"	"Oxidation_M_site_positions"
"Q07540"	"sp|Q07540|FRDA_YEAST"	"2"	"2"	"2"	">sp|Q07540|FRDA_YEAST Frataxin homolog, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFH1 PE=1 SV=1"	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	13.8	13.8	13.8	19.49	174	"174"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	13.8	13.8	13.8	13.8	6.3	13.8	"106150000"	18892000	19692000	14518000	12928000	18654000	21464000	11794000	2099100	2188000	1613100	1436500	2072700	2384900	21306000	21035000	0	0	0	21388000	1	2	1	2	0	1	7	""	""	""	2124	"7334;9428"	"True;True"	"7365;9477"	"48771;48772;48773;48774;48775;48776;62651;62652;62653;62654;62655"	"68293;68294;68295;68296;68297;68298;87161;87162;87163;87164;87165"	"68295;87165"	""	""
"Q07541"	"sp|Q07541|YD121_YEAST"	"1"	"1"	"1"	">sp|Q07541|YD121_YEAST Uncharacterized protein YDL121C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDL121C PE=1 SV=1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12.1	12.1	12.1	16.947	149	"149"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	12.1	12.1	12.1	12.1	12.1	12.1	"49255000"	8297000	7403400	8034500	7775500	8348400	9395800	7036400	1185300	1057600	1147800	1110800	1192600	1342300	0	0	0	0	0	9263000	1	1	1	1	1	2	7	""	""	""	2125	"1889"	"True"	"1901"	"13103;13104;13105;13106;13107;13108"	"18804;18805;18806;18807;18808;18809;18810"	"18805"	""	""
"Q07551"	"sp|Q07551|KAR_YEAST"	"14"	"14"	"14"	">sp|Q07551|KAR_YEAST NADPH-dependent alpha-keto amide reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDL124W PE=1 SV=1"	1	14	14	14	13	10	11	12	11	13	13	10	11	12	11	13	13	10	11	12	11	13	70.2	70.2	70.2	35.56	312	"312"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	65.7	50.6	54.8	61.2	53.2	65.7	"2665700000"	443570000	375240000	420090000	438260000	473810000	514680000	133280000	22179000	18762000	21004000	21913000	23690000	25734000	435280000	451680000	448180000	496380000	461780000	465290000	15	15	15	17	18	18	98	""	""	""	2126	"2943;3107;4502;6776;6810;7347;8127;8195;8360;8581;10006;10116;11135;12112"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"2958;3122;4522;6806;6840;7378;8159;8230;8400;8624;10058;10168;11194;12175"	"19788;19789;19790;19791;21221;21222;30121;30122;30123;30124;30125;30126;45098;45099;45100;45101;45102;45103;45349;45350;45351;45352;45353;45354;45355;48865;48866;48867;48868;48869;48870;54144;54145;54146;54147;54148;54149;54150;54563;54564;55648;55649;55650;55651;55652;55653;55654;55655;55656;55657;55658;55659;55660;57040;57041;57042;57043;57044;57045;57046;66604;66605;66606;66607;67298;67299;67300;67301;74183;74184;74185;74186;74187;74188;80913;80914;80915;80916;80917;80918;80919;80920;80921;80922;80923;80924"	"28041;30263;42477;42478;42479;63154;63155;63156;63157;63158;63159;63501;63502;63503;63504;63505;63506;63507;63508;63509;63510;63511;63512;68390;68391;68392;68393;68394;68395;75676;75677;75678;75679;75680;75681;75682;75683;76222;77657;77658;77659;77660;77661;77662;77663;77664;77665;77666;77667;77668;77669;77670;79520;79521;79522;79523;79524;79525;79526;79527;79528;79529;92390;92391;92392;92393;93609;93610;93611;93612;93613;93614;103380;103381;103382;103383;103384;103385;103386;103387;103388;103389;103390;103391;113213;113214;113215;113216;113217;113218;113219;113220;113221;113222;113223;113224;113225;113226;113227;113228;113229;113230;113231;113232;113233;113234;113235;113236;113237;113238;113239"	"28041;30263;42478;63154;63511;68392;75680;76222;77667;79527;92392;93613;103383;113214"	""	""
"Q07623"	"sp|Q07623|NOP6_YEAST"	"4"	"4"	"4"	">sp|Q07623|NOP6_YEAST Nucleolar protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP6 PE=1 SV=1"	1	4	4	4	4	3	4	4	3	4	4	3	4	4	3	4	4	3	4	4	3	4	26.2	26.2	26.2	25.216	225	"225"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	26.2	20.4	26.2	26.2	20.4	26.2	"369560000"	59693000	55504000	57457000	71344000	58648000	66910000	30796000	4974400	4625300	4788100	5945300	4887300	5575800	57870000	63195000	59469000	62786000	69123000	72315000	8	8	8	8	8	10	50	""	""	""	2127	"1681;3538;4114;11885"	"True;True;True;True"	"1692;3554;4132;11946"	"11804;11805;11806;11807;11808;11809;11810;23819;23820;23821;23822;23823;23824;27447;27448;27449;27450;79189;79190;79191;79192;79193;79194;79195;79196;79197;79198;79199;79200"	"17090;17091;17092;17093;17094;17095;17096;33787;33788;33789;33790;33791;33792;33793;33794;33795;33796;33797;33798;38876;38877;38878;110432;110433;110434;110435;110436;110437;110438;110439;110440;110441;110442;110443;110444;110445;110446;110447;110448;110449;110450;110451;110452;110453;110454;110455;110456;110457;110458;110459"	"17090;33794;38877;110448"	""	""
"Q07655"	"sp|Q07655|WHI4_YEAST"	"2"	"2"	"2"	">sp|Q07655|WHI4_YEAST Protein WHI4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WHI4 PE=1 SV=1"	1	2	2	2	0	2	0	2	1	0	0	2	0	2	1	0	0	2	0	2	1	0	4.3	4.3	4.3	70.689	649	"649"	0	"By matching"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By matching"	0	4.3	0	4.3	2	0	"30556000"	NA	9188800	NA	11295000	10072000	NA	1175200	0	353420	0	434430	387390	0	0	0	0	11295000	0	0	0	1	0	1	1	0	3	""	""	""	2128	"3664;10495"	"True;True"	"3681;10548"	"24687;24688;69809;69810;69811"	"35036;97167;97168;97169"	"35036;97167"	""	""
"Q07657"	"sp|Q07657|SHS1_YEAST"	"8"	"8"	"8"	">sp|Q07657|SHS1_YEAST Seventh homolog of septin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHS1 PE=1 SV=1"	1	8	8	8	6	5	5	6	5	7	6	5	5	6	5	7	6	5	5	6	5	7	18.5	18.5	18.5	62.629	551	"551"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	14.2	12.2	12.2	14.3	12.2	16.3	"426360000"	74876000	54347000	59430000	74223000	70969000	92517000	16399000	2879900	2090300	2285800	2854700	2729600	3558400	70243000	66765000	73968000	69869000	78973000	80926000	7	5	4	6	6	4	32	""	""	""	2129	"1917;3026;7274;8682;8974;10823;11097;13948"	"True;True;True;True;True;True;True;True"	"1929;3041;7305;8725;9020;10877;11153;14019"	"13274;13275;13276;13277;13278;13279;20347;20348;20349;20350;20351;20352;48404;48405;48406;48407;48408;48409;57629;57630;57631;57632;57633;57634;57635;59561;71864;73710;73711;93703;93704;93705;93706;93707;93708"	"19003;19004;19005;19006;19007;19008;28852;28853;28854;28855;28856;28857;28858;28859;28860;28861;28862;28863;67763;67764;67765;67766;67767;67768;80258;80259;80260;80261;80262;80263;80264;80265;82909;100056;102781;131529"	"19008;28861;67766;80264;82909;100056;102781;131529"	""	""
"Q07688"	"sp|Q07688|YPD1_YEAST"	"3"	"3"	"3"	">sp|Q07688|YPD1_YEAST Phosphorelay intermediate protein YPD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPD1 PE=1 SV=1"	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	18	18	18	19.168	167	"167"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	18	18	18	18	18	18	"556370000"	90183000	75017000	96366000	95852000	99616000	99338000	61819000	10020000	8335200	10707000	10650000	11068000	11038000	94112000	94939000	100140000	97985000	96136000	95654000	2	4	3	2	4	4	19	""	""	""	2130	"4917;8701;11264"	"True;True;True"	"4939;8744;11324"	"32900;32901;32902;32903;32904;32905;57763;57764;57765;57766;57767;57768;57769;57770;57771;57772;57773;75083;75084;75085;75086;75087;75088"	"46625;46626;46627;46628;46629;80431;80432;80433;80434;80435;80436;80437;80438;80439;104615;104616;104617;104618;104619;104620;104621"	"46627;80438;104618"	""	""
"Q07716"	"sp|Q07716|AIM6_YEAST"	"3"	"3"	"3"	">sp|Q07716|AIM6_YEAST Altered inheritance of mitochondria protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM6 PE=1 SV=2"	1	3	3	3	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	13.8	13.8	13.8	44.382	390	"390"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	7.9	7.9	7.9	7.9	13.8	7.9	"122430000"	12988000	18436000	20054000	17247000	31551000	22156000	6443700	683560	970300	1055500	907710	1660600	1166100	18847000	20273000	18950000	21716000	21553000	21096000	5	4	5	6	5	3	28	""	""	""	2131	"3060;7786;7905"	"True;True;True"	"3075;7817;7936"	"20586;20587;20588;20589;20590;20591;51891;51892;51893;51894;51895;51896;51897;51898;51899;51900;51901;52745"	"29190;29191;29192;29193;29194;29195;29196;29197;29198;29199;29200;29201;29202;29203;29204;29205;72775;72776;72777;72778;72779;72780;72781;72782;72783;72784;72785;73992"	"29201;72779;73992"	""	""
"Q07800"	"sp|Q07800|PSR1_YEAST"	"1"	"1"	"1"	">sp|Q07800|PSR1_YEAST Phosphatase PSR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSR1 PE=1 SV=1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	47.93	427	"427"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	3	3	3	3	3	3	"20403000"	2788900	3360300	3243200	3650600	4237000	3123200	1133500	154940	186680	180180	202810	235390	173510	0	0	0	0	0	3079100	0	0	1	0	0	0	1	""	""	""	2132	"13636"	"True"	"13707"	"91673;91674;91675;91676;91677;91678"	"128718;128719;128720;128721;128722;128723"	"128722"	""	""
"Q07807"	"sp|Q07807|PUF3_YEAST"	"3"	"3"	"3"	">sp|Q07807|PUF3_YEAST mRNA-binding protein PUF3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUF3 PE=1 SV=1"	1	3	3	3	2	2	2	3	3	3	2	2	2	3	3	3	2	2	2	3	3	3	3.8	3.8	3.8	98.067	879	"879"	0.00051414	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	1.9	1.9	1.9	3.8	3.8	3.8	"106340000"	15237000	14576000	14531000	16113000	22524000	23364000	2658600	380920	364400	363260	402830	563100	584100	0	0	0	0	0	23034000	0	1	1	2	1	2	7	""	""	""	2133	"1790;3261;9210"	"True;True;True"	"1802;3276;9258"	"12506;12507;12508;12509;12510;12511;22154;22155;22156;22157;22158;22159;61198;61199;61200;61201"	"18009;18010;31640;31641;31642;31643;31644;31645;85290;85291;85292"	"18010;31640;85291"	""	""
"Q07825"	"sp|Q07825|FRA1_YEAST"	"5"	"5"	"5"	">sp|Q07825|FRA1_YEAST Putative Xaa-Pro aminopeptidase FRA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRA1 PE=1 SV=1"	1	5	5	5	3	4	4	4	5	4	3	4	4	4	5	4	3	4	4	4	5	4	9.9	9.9	9.9	84.923	749	"749"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	5.6	7.3	7.3	7.3	9.9	7.3	"234770000"	30829000	44161000	38122000	35074000	43423000	43160000	5869200	770710	1104000	953050	876850	1085600	1079000	35411000	51274000	37527000	42015000	42118000	36722000	3	3	3	3	6	5	23	""	""	""	2134	"1590;6044;7854;9207;9441"	"True;True;True;True;True"	"1600;6071;7885;9255;9490"	"11227;11228;11229;11230;11231;40227;40228;40229;40230;40231;40232;40233;40234;40235;40236;40237;40238;52404;61179;61180;61181;61182;61183;61184;62737;62738;62739;62740;62741;62742"	"16318;16319;56567;56568;56569;56570;56571;56572;56573;56574;56575;56576;56577;56578;56579;56580;56581;73495;85270;85271;85272;87234;87235;87236;87237;87238;87239"	"16318;56573;73495;85272;87236"	""	""
"Q07844"	"sp|Q07844|RIX7_YEAST"	"8"	"8"	"8"	">sp|Q07844|RIX7_YEAST Ribosome biogenesis ATPase RIX7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIX7 PE=1 SV=1"	1	8	8	8	5	5	6	7	7	7	5	5	6	7	7	7	5	5	6	7	7	7	15.3	15.3	15.3	93.068	837	"837"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	9.3	9.1	11.7	13.1	13.1	13.9	"362450000"	52114000	44959000	61226000	71506000	65899000	66748000	8237500	1184400	1021800	1391500	1625100	1497700	1517000	68197000	58076000	54174000	62655000	61873000	54158000	3	3	3	4	3	5	21	""	""	""	2135	"839;2412;9061;9685;10202;10240;10305;13160"	"True;True;True;True;True;True;True;True"	"847;2425;9107;9734;10254;10292;10357;13230"	"6113;16502;16503;16504;16505;60165;60166;60167;60168;60169;60170;60171;60172;64370;64371;64372;64373;64374;67848;67849;67850;67851;67852;67853;68123;68124;68125;68126;68127;68548;68549;68550;68551;68552;88539;88540;88541;88542;88543"	"9179;23592;23593;23594;83793;83794;83795;83796;83797;83798;89363;89364;89365;89366;94420;94421;94422;94423;94424;94425;94822;94823;94824;94825;95421;95422;95423;124496;124497;124498;124499"	"9179;23594;83794;89363;94424;94822;95423;124496"	""	""
"Q07872"	"sp|Q07872|ENT4_YEAST"	"1"	"1"	"1"	">sp|Q07872|ENT4_YEAST Epsin-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENT4 PE=1 SV=1"	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	3.2	3.2	3.2	28.271	247	"247"	1	"By MS/MS"	"By matching"	"By MS/MS"	"By matching"	"By matching"	"By MS/MS"	3.2	0	3.2	0	0	3.2	"14708000"	4068300	NA	5596600	NA	NA	5043100	980540	271220	0	373110	0	0	336210	0	0	0	0	0	4971800	0	0	0	0	0	0	0	"+"	""	""	2136	"8183"	"True"	"8217"	"54477;54478;54479"	"76097;76098;76099"	"76097"	"89"	"1"
"Q07878"	"sp|Q07878|VPS13_YEAST"	"21"	"21"	"21"	">sp|Q07878|VPS13_YEAST Vacuolar protein sorting-associated protein 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS13 PE=1 SV=1"	1	21	21	21	10	12	14	13	10	14	10	12	14	13	10	14	10	12	14	13	10	14	8.7	8.7	8.7	357.85	3144	"3144"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	3.9	4.7	5.5	5.6	3.9	6.2	"591540000"	73556000	105700000	105810000	102190000	92758000	111520000	3697100	459730	660620	661300	638690	579740	697020	80082000	98649000	92853000	96357000	96242000	89642000	5	7	7	4	6	9	38	""	""	""	2137	"605;791;1063;1273;1698;3443;3862;4264;4533;4902;5909;6118;6739;7185;7521;8245;8391;8606;10977;12207;12858"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"611;799;1072;1283;1710;3458;3880;4284;4554;4924;5935;6145;6769;7216;7552;8283;8431;8649;11033;12270;12926"	"4343;5766;5767;5768;5769;5770;5771;7743;9174;9175;9176;9177;9178;11904;11905;11906;11907;11908;11909;23196;23197;23198;23199;23200;25884;25885;25886;25887;25888;28462;30382;30383;32819;32820;32821;32822;32823;32824;39310;39311;39312;39313;39314;39315;40744;44867;44868;44869;47870;47871;50007;50008;50009;50010;50011;50012;54863;54864;55857;55858;55859;55860;55861;55862;55863;55864;55865;55866;55867;55868;55869;57201;72916;72917;72918;72919;72920;81552;81553;86150"	"6425;8621;8622;11683;13576;13577;13578;13579;13580;17192;17193;17194;17195;17196;32895;32896;32897;32898;32899;36670;36671;36672;36673;40196;42961;46488;46489;46490;46491;55214;55215;55216;55217;55218;55219;57331;62863;67064;69964;69965;69966;69967;69968;69969;76629;76630;76631;77917;77918;77919;77920;77921;77922;77923;79728;101677;101678;101679;101680;114077;121139"	"6425;8622;11683;13576;17196;32898;36672;40196;42961;46491;55214;57331;62863;67064;69965;76631;77923;79728;101677;114077;121139"	""	""
"Q07896"	"sp|Q07896|NOC3_YEAST"	"6"	"6"	"6"	">sp|Q07896|NOC3_YEAST Nucleolar complex-associated protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOC3 PE=1 SV=1"	1	6	6	6	5	5	4	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	11.8	11.8	11.8	75.581	663	"663"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	10.1	10.1	7.2	8.9	10.1	10.1	"176560000"	27831000	28825000	17176000	24740000	37853000	40139000	5044700	795170	823570	490740	706870	1081500	1146800	29521000	31188000	25826000	28034000	32243000	36153000	5	3	1	3	4	5	21	""	""	""	2138	"3686;4734;8410;10583;11208;11548"	"True;True;True;True;True;True"	"3703;4755;8451;10637;11267;11609"	"24808;24809;24810;24811;24812;24813;31707;31708;31709;31710;55988;70396;70397;70398;70399;70400;70401;74735;74736;74737;74738;74739;74740;77065;77066;77067;77068;77069;77070"	"35168;35169;35170;35171;44725;78112;97984;97985;97986;97987;97988;97989;97990;97991;104180;104181;104182;104183;104184;107559;107560;107561;107562;107563;107564"	"35171;44725;78112;97986;104180;107564"	""	""
"Q07897"	"sp|Q07897|CMS1_YEAST"	"4"	"4"	"4"	">sp|Q07897|CMS1_YEAST Protein CMS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMS1 PE=1 SV=1"	1	4	4	4	4	1	1	4	3	2	4	1	1	4	3	2	4	1	1	4	3	2	17.2	17.2	17.2	33.394	291	"291"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	17.2	3.4	3.4	17.2	13.4	7.2	"101110000"	20800000	8702500	9227600	31274000	21739000	9369600	5947800	1223500	511910	542800	1839600	1278800	551150	23204000	0	0	30739000	21300000	0	3	2	2	4	2	3	16	""	""	""	2139	"1849;2639;5939;6022"	"True;True;True;True"	"1861;2652;5965;6049"	"12880;12881;12882;17859;17860;17861;39555;39556;39557;40106;40107;40108;40109;40110;40111"	"18532;18533;18534;25462;55630;55631;55632;56420;56421;56422;56423;56424;56425;56426;56427;56428;56429;56430;56431"	"18534;25462;55630;56425"	""	""
"Q07914"	"sp|Q07914|TIM14_YEAST"	"1"	"1"	"1"	">sp|Q07914|TIM14_YEAST Mitochondrial import inner membrane translocase subunit TIM14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAM18 PE=1 SV=1"	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	8.9	8.9	8.9	17.91	168	"168"	0	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	0	8.9	8.9	8.9	0	8.9	"53115000"	NA	21762000	NA	12790000	NA	18563000	13279000	0	5440600	0	3197400	0	4640800	0	0	0	0	0	18301000	0	1	1	0	0	0	2	""	""	""	2140	"2115"	"True"	"2127"	"14612;14613;14614;14615"	"20836;20837;20838;20839"	"20838"	""	""
"Q07915"	"sp|Q07915|RLP24_YEAST"	"4"	"4"	"4"	">sp|Q07915|RLP24_YEAST Ribosome biogenesis protein RLP24 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RLP24 PE=1 SV=1"	1	4	4	4	3	4	3	4	3	3	3	4	3	4	3	3	3	4	3	4	3	3	16.1	16.1	16.1	23.975	199	"199"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	12.1	16.1	12.1	16.1	9.5	9.5	"367610000"	46796000	59477000	45519000	77913000	75363000	62540000	91902000	11699000	14869000	11380000	19478000	18841000	15635000	61076000	60970000	56170000	65535000	72499000	64914000	1	2	3	1	2	1	10	""	""	""	2141	"2409;2600;7558;8021"	"True;True;True;True"	"2422;2613;7589;8053"	"16486;16487;16488;16489;17639;17640;17641;17642;50266;50267;50268;50269;50270;50271;53518;53519;53520;53521;53522;53523;53524;53525;53526"	"23576;23577;23578;25190;70367;70368;70369;70370;70371;70372;75036;75037;75038;75039;75040;75041"	"23577;25190;70370;75040"	""	""
"Q07938"	"sp|Q07938|MTAP_YEAST"	"1"	"1"	"1"	">sp|Q07938|MTAP_YEAST S-methyl-5-thioadenosine phosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MEU1 PE=1 SV=1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.3	3.3	3.3	37.856	337	"337"	0.00049975	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	3.3	3.3	3.3	3.3	3.3	3.3	"232110000"	37618000	37446000	37881000	41389000	37665000	40114000	14507000	2351100	2340400	2367600	2586800	2354000	2507100	0	0	0	0	0	39547000	1	1	2	1	1	1	7	""	""	""	2142	"1411"	"True"	"1421"	"10045;10046;10047;10048;10049;10050"	"14671;14672;14673;14674;14675;14676;14677"	"14677"	""	""
"Q07953"	"sp|Q07953|SDO1_YEAST"	"3"	"3"	"3"	">sp|Q07953|SDO1_YEAST Ribosome maturation protein SDO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDO1 PE=1 SV=1"	1	3	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3	20.4	20.4	20.4	28.283	250	"250"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	20.4	20.4	20.4	17.6	20.4	20.4	"281850000"	47221000	52263000	44957000	43688000	44206000	49511000	15658000	2623400	2903500	2497600	2427100	2455900	2750600	51861000	53951000	46873000	50134000	44248000	47890000	4	4	4	2	3	4	21	""	""	""	2143	"5838;9363;12131"	"True;True;True"	"5862;9411;12194"	"38873;38874;38875;38876;38877;38878;62178;62179;62180;62181;62182;81033;81034;81035;81036;81037;81038"	"54668;54669;54670;54671;54672;54673;54674;54675;54676;54677;86554;86555;86556;86557;86558;113377;113378;113379;113380;113381;113382"	"54673;86557;113382"	""	""
"Q07979"	"sp|Q07979|RSC58_YEAST"	"3"	"3"	"3"	">sp|Q07979|RSC58_YEAST Chromatin structure-remodeling complex protein RSC58 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSC58 PE=1 SV=1"	1	3	3	3	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	3	1	8.4	8.4	8.4	57.794	502	"502"	0	"By MS/MS"	"By MS/MS"	"By matching"	"By matching"	"By MS/MS"	"By matching"	1.6	1.6	1.6	1.6	8.4	1.6	"34805000"	3273000	6029400	5135200	5454900	9033300	5879400	1200200	112860	207910	177080	188100	311490	202740	0	0	0	0	8946200	0	1	1	0	0	2	0	4	""	""	""	2144	"3701;5647;6981"	"True;True;True"	"3718;5671;7011"	"24893;24894;24895;24896;24897;24898;24899;37554;46502"	"35277;35278;35279;35280;52907;65176"	"35279;52907;65176"	""	""
"Q08004"	"sp|Q08004|BUD20_YEAST"	"6"	"6"	"6"	">sp|Q08004|BUD20_YEAST Bud site selection protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD20 PE=1 SV=1"	1	6	6	6	3	3	4	3	3	3	3	3	4	3	3	3	3	3	4	3	3	3	56	56	56	18.517	166	"166"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	23.5	25.3	38	18.7	18.7	23.5	"152380000"	35054000	8126300	46612000	6620700	24609000	31361000	19048000	4381800	1015800	5826600	827580	3076100	3920100	0	0	50652000	0	0	0	1	2	2	2	2	2	11	""	""	""	2145	"1502;2378;4520;11890;12890;12891"	"True;True;True;True;True;True"	"1512;2391;4541;11951;12958;12959"	"10639;16289;16290;16291;30291;30292;30293;79223;86666;86667;86668;86669;86670;86671;86672;86673;86674;86675;86676"	"15522;23299;23300;23301;42827;42828;42829;110486;121951;121952;121953;121954;121955;121956;121957;121958;121959;121960"	"15522;23299;42829;110486;121955;121957"	""	""
